"id","breedtegraad","lengtegraad","weergavenaam","plaatsnaam","landcode","landnaam","status","status_uitleg","statusvolgorde","markerkleur","actief","oppervlakte_ha","oppervlakte","markergrootte","ontstaansdatum","ontstaansdatum_iso","duur_dagen","duur","detecties_24u","detecties_7d","uren_sinds_update","brandgevaar","status_bijgewerkt","bron_bijgewerkt_utc","opgehaald_utc","bron","bron_url"
"591819",37.3705,13.4094,"Siculiana","Siculiana","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",113,"113 hectare",1.38,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,23,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.803Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592368",33.0821,35.4177,"Yaroune","Yaroune","LB","Libanon","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",375,"375 hectare",1.64,"2 augustus 2026","2026-08-02",2,"2 dagen",53,,21,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.803Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592466",37.2651,14.7544,"Militello in Val di Catania","Militello in Val di Catania","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",35,"35 hectare",1.12,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,17,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.803Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"591679",38.0507,23.3781,"Bosbrand in Griekenland",,"EL","Griekenland","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",1186,"1.186 hectare",1.89,"2 augustus 2026","2026-08-02",2,"2 dagen",164,,23,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.804Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"591809",42.5781,0.7798,"Vilaller","Vilaller","ES","Spanje","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",9,"9 hectare",0.83,"2 augustus 2026","2026-08-02",2,"2 dagen",1,,23,"Laag","4 augustus 2026 om 07:42","2026-08-04T05:42:33.804Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"591766",38.0768,20.7396,"Bosbrand in Griekenland",,"EL","Griekenland","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",353,"353 hectare",1.62,"2 augustus 2026","2026-08-02",2,"2 dagen",7,,23,"Gemiddeld","4 augustus 2026 om 07:42","2026-08-04T05:42:33.804Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592418",39.1835,36.1704,"Sivas","Sivas","TR","Turkije","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",69,"69 hectare",1.27,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,20,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.804Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592271",33.3408,35.7033,"El-Habbariyé","El-Habbariyé","LB","Libanon","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",7,"7 hectare",0.77,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,22,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.805Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592396",35.7748,36.5757,"Bosbrand in Syrië",,"SY","Syrië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",12,"12 hectare",0.89,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,21,"Extreem","4 augustus 2026 om 07:42","2026-08-04T05:42:33.805Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592452",38.099,36.4749,"Bosbrand in Turkije",,"TR","Turkije","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",4,"4 hectare",0.65,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,19,"Extreem","4 augustus 2026 om 07:42","2026-08-04T05:42:33.805Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
