"status","statusvolgorde","markerkleur","aantal","totale_oppervlakte_ha","opgehaald_utc","bron_bijgewerkt_utc","bron"
"Niet onder controle",1,"#AA3228",72,77472,"2026-08-04T06:42:29Z","2026-08-04T06:31:01Z","FireMap.live (EFFIS en NASA FIRMS)"
"Onder controle",2,"#E07154",193,45152,"2026-08-04T06:42:29Z","2026-08-04T06:31:01Z","FireMap.live (EFFIS en NASA FIRMS)"
"Uitgedoofd",3,"#FCD9BE",167,9195,"2026-08-04T06:42:29Z","2026-08-04T06:31:01Z","FireMap.live (EFFIS en NASA FIRMS)"
"Onbekend",4,"#808080",1,0,"2026-08-04T06:42:29Z","2026-08-04T06:31:01Z","FireMap.live (EFFIS en NASA FIRMS)"
