"actualiteit","actualiteitvolgorde","markerkleur","aantal","totale_oppervlakte_ha","opgehaald_utc","bron_bijgewerkt_utc","bron"
"Vandaag bijgewerkt",1,"#AA3228",0,0,"2026-09-26T09:59:45Z","2026-09-25T12:49:11Z","EFFIS – Copernicus Emergency Management Service"
"Afgelopen 3 dagen bijgewerkt",2,"#E07154",324,18500,"2026-09-26T09:59:45Z","2026-09-25T12:49:11Z","EFFIS – Copernicus Emergency Management Service"
"4–7 dagen geleden bijgewerkt",3,"#FCD9BE",174,10813,"2026-09-26T09:59:45Z","2026-09-25T12:49:11Z","EFFIS – Copernicus Emergency Management Service"
"Actualiteit onbekend",4,"#808080",0,0,"2026-09-26T09:59:45Z","2026-09-25T12:49:11Z","EFFIS – Copernicus Emergency Management Service"
